<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;1;28/04/21;170500;3591.1500000;3591.4000000;3590.3900000;3590.3900000;153079828
IMOEX;1;28/04/21;170600;3590.3500000;3591.3100000;3589.9100000;3590.1200000;213799667
IMOEX;1;28/04/21;170700;3590.2500000;3590.6600000;3589.7200000;3589.9100000;119122233
IMOEX;1;28/04/21;170800;3590.0600000;3590.0600000;3589.3000000;3589.3000000;90014134
IMOEX;1;28/04/21;170900;3589.4500000;3589.8700000;3589.4200000;3589.6100000;89663630
IMOEX;1;28/04/21;171000;3590.2300000;3590.7300000;3590.2000000;3590.2800000;112840235
IMOEX;1;28/04/21;171100;3590.2900000;3590.6800000;3589.6600000;3589.6600000;146187274
IMOEX;1;28/04/21;171200;3589.4600000;3589.5000000;3588.5700000;3588.5700000;177120874
IMOEX;1;28/04/21;171300;3588.5500000;3588.5500000;3586.8200000;3587.1500000;168067926
IMOEX;1;28/04/21;171400;3586.8800000;3587.6800000;3585.9700000;3586.0500000;296277049
IMOEX;1;28/04/21;171500;3585.7500000;3585.7500000;3585.0900000;3585.3600000;163282440
IMOEX;1;28/04/21;171600;3585.4400000;3587.1400000;3585.4400000;3587.0300000;120598019
IMOEX;1;28/04/21;171700;3586.9800000;3586.9800000;3585.9500000;3585.9500000;113059434
IMOEX;1;28/04/21;171800;3586.2500000;3587.2600000;3586.2500000;3587.0300000;149040501
IMOEX;1;28/04/21;171900;3587.3500000;3588.1700000;3587.1900000;3587.8300000;188973772
IMOEX;1;28/04/21;172000;3587.7200000;3588.5400000;3587.7200000;3588.4300000;162998470
IMOEX;1;28/04/21;172100;3587.7200000;3590.2100000;3587.7200000;3589.9800000;329383766
IMOEX;1;28/04/21;172200;3589.6900000;3590.9100000;3589.2800000;3589.6300000;269305989
IMOEX;1;28/04/21;172300;3589.6200000;3589.6200000;3588.3300000;3588.9200000;260728700
IMOEX;1;28/04/21;172400;3588.0300000;3588.7100000;3587.1500000;3587.1700000;363995664
IMOEX;1;28/04/21;172500;3586.7700000;3586.7700000;3585.4100000;3585.4100000;229725744
IMOEX;1;28/04/21;172600;3585.3700000;3586.4200000;3585.3700000;3585.8600000;463733386
IMOEX;1;28/04/21;172700;3585.6500000;3586.0600000;3585.4800000;3585.6700000;529184413
IMOEX;1;28/04/21;172800;3585.3600000;3586.1700000;3585.2200000;3585.7400000;484436091
IMOEX;1;28/04/21;172900;3585.7000000;3586.7900000;3585.3300000;3585.3300000;354683823
IMOEX;1;28/04/21;173000;3584.6400000;3584.6800000;3582.3200000;3582.3200000;774761525
IMOEX;1;28/04/21;173100;3582.1800000;3584.9800000;3582.1800000;3584.9400000;394570993
IMOEX;1;28/04/21;173200;3584.7400000;3584.7400000;3582.8300000;3583.0500000;240707349
IMOEX;1;28/04/21;173300;3582.9300000;3583.8600000;3582.7900000;3583.8600000;282169625
IMOEX;1;28/04/21;173400;3583.6400000;3584.2900000;3582.6300000;3584.2900000;198636298
IMOEX;1;28/04/21;173500;3584.2700000;3584.2700000;3583.3400000;3583.3400000;184932236
