<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
KMAZ;1;29/04/21;163600;70.6000000;70.6000000;70.4000000;70.6000000;80
KMAZ;1;29/04/21;163700;70.6000000;70.6000000;70.6000000;70.6000000;80
KMAZ;1;29/04/21;163800;70.4000000;70.4000000;70.4000000;70.4000000;20
KMAZ;1;29/04/21;163900;70.6000000;70.6000000;70.6000000;70.6000000;10
KMAZ;1;29/04/21;164000;70.6000000;70.7000000;70.4000000;70.4000000;30
KMAZ;1;29/04/21;164100;70.4000000;70.4000000;70.4000000;70.4000000;10
KMAZ;1;29/04/21;164400;70.4000000;70.4000000;70.4000000;70.4000000;10
KMAZ;1;29/04/21;164500;70.4000000;70.4000000;70.4000000;70.4000000;10
KMAZ;1;29/04/21;164600;70.4000000;70.6000000;70.4000000;70.6000000;20
KMAZ;1;29/04/21;164700;70.4000000;70.6000000;70.4000000;70.6000000;60
KMAZ;1;29/04/21;164800;70.5000000;70.5000000;70.4000000;70.4000000;180
KMAZ;1;29/04/21;164900;70.6000000;70.6000000;70.4000000;70.4000000;140
KMAZ;1;29/04/21;165000;70.4000000;70.4000000;70.4000000;70.4000000;380
KMAZ;1;29/04/21;165100;70.2000000;70.2000000;70.2000000;70.2000000;10
KMAZ;1;29/04/21;165400;70.2000000;70.4000000;70.2000000;70.4000000;110
KMAZ;1;29/04/21;165500;70.4000000;70.4000000;70.4000000;70.4000000;50
KMAZ;1;29/04/21;165600;70.4000000;70.4000000;70.4000000;70.4000000;70
KMAZ;1;29/04/21;165700;70.4000000;70.4000000;70.3000000;70.3000000;60
KMAZ;1;29/04/21;165900;70.4000000;70.6000000;70.4000000;70.6000000;280
KMAZ;1;29/04/21;170000;70.4000000;70.6000000;70.4000000;70.4000000;380
KMAZ;1;29/04/21;170100;70.6000000;70.6000000;70.6000000;70.6000000;20
KMAZ;1;29/04/21;170200;70.3000000;70.6000000;70.2000000;70.2000000;1030
KMAZ;1;29/04/21;170300;70.3000000;70.6000000;70.3000000;70.6000000;400
KMAZ;1;29/04/21;170400;70.3000000;70.3000000;70.3000000;70.3000000;20
KMAZ;1;29/04/21;170500;70.6000000;70.6000000;70.3000000;70.3000000;40
KMAZ;1;29/04/21;170600;70.3000000;70.6000000;70.3000000;70.6000000;220
KMAZ;1;29/04/21;170700;70.3000000;70.3000000;70.3000000;70.3000000;10
KMAZ;1;29/04/21;170800;70.3000000;70.5000000;70.3000000;70.3000000;130
KMAZ;1;29/04/21;170900;70.3000000;70.3000000;70.3000000;70.3000000;40
KMAZ;1;29/04/21;171000;70.3000000;70.3000000;70.3000000;70.3000000;10
KMAZ;1;29/04/21;171100;70.5000000;70.6000000;70.5000000;70.6000000;490
KMAZ;1;29/04/21;171200;70.5000000;70.5000000;70.4000000;70.4000000;310
KMAZ;1;29/04/21;171300;70.6000000;70.6000000;70.4000000;70.4000000;20
KMAZ;1;29/04/21;171400;70.4000000;70.4000000;70.4000000;70.4000000;10
KMAZ;1;29/04/21;171500;70.6000000;70.6000000;70.4000000;70.4000000;20
KMAZ;1;29/04/21;171600;70.4000000;70.4000000;70.4000000;70.4000000;250
KMAZ;1;29/04/21;171700;70.5000000;70.5000000;70.4000000;70.4000000;30
KMAZ;1;29/04/21;171800;70.5000000;70.6000000;70.4000000;70.6000000;80
KMAZ;1;29/04/21;171900;70.5000000;70.6000000;70.5000000;70.6000000;310
KMAZ;1;29/04/21;172100;70.5000000;70.5000000;70.4000000;70.4000000;310
KMAZ;1;29/04/21;172300;70.4000000;70.4000000;70.4000000;70.4000000;500
KMAZ;1;29/04/21;172400;70.5000000;70.5000000;70.5000000;70.5000000;10
KMAZ;1;29/04/21;172500;70.5000000;70.5000000;70.5000000;70.5000000;10
KMAZ;1;29/04/21;172700;70.4000000;70.5000000;70.4000000;70.5000000;80
KMAZ;1;29/04/21;172800;70.4000000;70.6000000;70.4000000;70.4000000;70
KMAZ;1;29/04/21;172900;70.6000000;70.6000000;70.6000000;70.6000000;20
KMAZ;1;29/04/21;173000;70.5000000;70.5000000;70.4000000;70.4000000;210
KMAZ;1;29/04/21;173100;70.4000000;70.6000000;70.4000000;70.4000000;50
KMAZ;1;29/04/21;173500;70.6000000;70.6000000;70.4000000;70.4000000;1360
KMAZ;1;29/04/21;173600;70.4000000;70.5000000;70.4000000;70.4000000;130
KMAZ;1;29/04/21;173700;70.5000000;70.5000000;70.4000000;70.4000000;50
KMAZ;1;29/04/21;173900;70.5000000;70.5000000;70.4000000;70.4000000;60
KMAZ;1;29/04/21;174000;70.5000000;70.5000000;70.4000000;70.4000000;540
KMAZ;1;29/04/21;174100;70.5000000;70.5000000;70.5000000;70.5000000;20
KMAZ;1;29/04/21;174200;70.4000000;70.6000000;70.4000000;70.6000000;330
KMAZ;1;29/04/21;174400;70.6000000;70.6000000;70.4000000;70.4000000;600
KMAZ;1;29/04/21;174500;70.6000000;70.6000000;70.4000000;70.6000000;70
KMAZ;1;29/04/21;174700;70.6000000;70.6000000;70.4000000;70.4000000;780
KMAZ;1;29/04/21;174800;70.6000000;70.6000000;70.4000000;70.4000000;300
KMAZ;1;29/04/21;174900;70.6000000;70.6000000;70.6000000;70.6000000;10
KMAZ;1;29/04/21;175100;70.6000000;70.6000000;70.6000000;70.6000000;250
KMAZ;1;29/04/21;175200;70.5000000;70.6000000;70.5000000;70.6000000;550
KMAZ;1;29/04/21;175300;70.4000000;70.6000000;70.4000000;70.6000000;1130
KMAZ;1;29/04/21;175400;70.4000000;70.4000000;70.3000000;70.3000000;290
KMAZ;1;29/04/21;175500;70.6000000;70.6000000;70.6000000;70.6000000;10
KMAZ;1;29/04/21;175600;70.6000000;70.6000000;70.6000000;70.6000000;90
KMAZ;1;29/04/21;175700;70.4000000;70.4000000;70.4000000;70.4000000;420
KMAZ;1;29/04/21;175900;70.4000000;70.4000000;70.4000000;70.4000000;40
KMAZ;1;29/04/21;180000;70.3000000;70.4000000;70.3000000;70.4000000;50
KMAZ;1;29/04/21;180100;70.4000000;70.4000000;70.2000000;70.2000000;70
KMAZ;1;29/04/21;180200;70.2000000;70.2000000;70.2000000;70.2000000;100
KMAZ;1;29/04/21;180300;70.4000000;70.4000000;70.4000000;70.4000000;20
