<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
NLMK;1;27/04/21;115200;270.8000000
NLMK;1;27/04/21;115300;270.3800000
NLMK;1;27/04/21;115400;270.6200000
NLMK;1;27/04/21;115500;270.5400000
NLMK;1;27/04/21;115600;271.1800000
NLMK;1;27/04/21;115700;271.0000000
NLMK;1;27/04/21;115800;270.7600000
NLMK;1;27/04/21;115900;270.8800000
NLMK;1;27/04/21;120000;270.6200000
NLMK;1;27/04/21;120100;270.5400000
NLMK;1;27/04/21;120200;270.1600000
NLMK;1;27/04/21;120300;270.2800000
NLMK;1;27/04/21;120400;270.1800000
NLMK;1;27/04/21;120500;270.0600000
NLMK;1;27/04/21;120600;270.1600000
NLMK;1;27/04/21;120700;270.2000000
NLMK;1;27/04/21;120800;270.2000000
NLMK;1;27/04/21;120900;270.1600000
NLMK;1;27/04/21;121000;270.2000000
NLMK;1;27/04/21;121100;270.3600000
NLMK;1;27/04/21;121200;270.4800000
NLMK;1;27/04/21;121300;270.5800000
NLMK;1;27/04/21;121400;270.5600000
NLMK;1;27/04/21;121500;270.5000000
NLMK;1;27/04/21;121600;270.0000000
NLMK;1;27/04/21;121700;270.0000000
NLMK;1;27/04/21;121800;270.2000000
NLMK;1;27/04/21;121900;270.0000000
NLMK;1;27/04/21;122000;270.2000000
NLMK;1;27/04/21;122100;270.3200000
NLMK;1;27/04/21;122200;270.1800000
NLMK;1;27/04/21;122300;270.3000000
NLMK;1;27/04/21;122400;270.2000000
NLMK;1;27/04/21;122500;269.9200000
NLMK;1;27/04/21;122600;269.8800000
NLMK;1;27/04/21;122700;269.7200000
NLMK;1;27/04/21;122800;269.8200000
NLMK;1;27/04/21;122900;269.8400000
NLMK;1;27/04/21;123000;270.3600000
NLMK;1;27/04/21;123100;270.6000000
NLMK;1;27/04/21;123200;270.5200000
NLMK;1;27/04/21;123300;270.6000000
NLMK;1;27/04/21;123400;270.8400000
NLMK;1;27/04/21;123500;270.8400000
NLMK;1;27/04/21;123600;270.6200000
NLMK;1;27/04/21;123700;270.8800000
NLMK;1;27/04/21;123800;270.8400000
NLMK;1;27/04/21;123900;270.8400000
NLMK;1;27/04/21;124000;270.8800000
NLMK;1;27/04/21;124100;270.9800000
NLMK;1;27/04/21;124200;270.5000000
NLMK;1;27/04/21;124300;270.4800000
NLMK;1;27/04/21;124400;270.5400000
NLMK;1;27/04/21;124500;270.3800000
NLMK;1;27/04/21;124600;270.5400000
NLMK;1;27/04/21;124700;270.3800000
NLMK;1;27/04/21;124800;270.3800000
NLMK;1;27/04/21;124900;270.3000000
NLMK;1;27/04/21;125000;270.0400000
NLMK;1;27/04/21;125100;270.2800000
NLMK;1;27/04/21;125200;270.2800000
NLMK;1;27/04/21;125300;270.3400000
NLMK;1;27/04/21;125400;270.2200000
NLMK;1;27/04/21;125500;270.4800000
NLMK;1;27/04/21;125600;270.6000000
NLMK;1;27/04/21;125700;270.6800000
NLMK;1;27/04/21;125800;270.5200000
NLMK;1;27/04/21;125900;270.6000000
NLMK;1;27/04/21;130000;270.7400000
NLMK;1;27/04/21;130100;270.8000000
NLMK;1;27/04/21;130200;270.9400000
NLMK;1;27/04/21;130300;270.1800000
NLMK;1;27/04/21;130400;270.4000000
NLMK;1;27/04/21;130500;270.4600000
NLMK;1;27/04/21;130600;270.4800000
NLMK;1;27/04/21;130700;270.5000000
NLMK;1;27/04/21;130800;270.7600000
NLMK;1;27/04/21;130900;270.8000000
NLMK;1;27/04/21;131000;270.9000000
NLMK;1;27/04/21;131100;271.2600000
NLMK;1;27/04/21;131200;271.2600000
NLMK;1;27/04/21;131300;271.2000000
NLMK;1;27/04/21;131400;271.4000000
NLMK;1;27/04/21;131500;271.4400000
NLMK;1;27/04/21;131600;271.5400000
NLMK;1;27/04/21;131700;272.1400000
NLMK;1;27/04/21;131800;272.0600000
NLMK;1;27/04/21;131900;272.1600000
NLMK;1;27/04/21;132000;272.0200000
NLMK;1;27/04/21;132100;272.1000000
NLMK;1;27/04/21;132200;273.0000000
NLMK;1;27/04/21;132300;272.9200000
NLMK;1;27/04/21;132400;272.6800000
NLMK;1;27/04/21;132500;272.4000000
NLMK;1;27/04/21;132600;272.2400000
NLMK;1;27/04/21;132700;272.3000000
NLMK;1;27/04/21;132800;272.2400000
NLMK;1;27/04/21;132900;272.2000000
NLMK;1;27/04/21;133000;271.9400000
NLMK;1;27/04/21;133100;272.0000000
NLMK;1;27/04/21;133200;271.9000000
NLMK;1;27/04/21;133300;271.8000000
NLMK;1;27/04/21;133400;271.9000000
NLMK;1;27/04/21;133500;271.4200000
NLMK;1;27/04/21;133600;271.2800000
NLMK;1;27/04/21;133700;271.1600000
NLMK;1;27/04/21;133800;271.0600000
NLMK;1;27/04/21;133900;271.0800000
NLMK;1;27/04/21;134000;271.4600000
NLMK;1;27/04/21;134100;271.5200000
NLMK;1;27/04/21;134200;271.6600000
NLMK;1;27/04/21;134300;271.4000000
NLMK;1;27/04/21;134400;271.4800000
NLMK;1;27/04/21;134500;271.6800000
NLMK;1;27/04/21;134600;271.6400000
NLMK;1;27/04/21;134700;271.5200000
NLMK;1;27/04/21;134800;271.5000000
NLMK;1;27/04/21;134900;271.4000000
NLMK;1;27/04/21;135000;271.0000000
NLMK;1;27/04/21;135100;271.0400000
NLMK;1;27/04/21;135200;271.0000000
NLMK;1;27/04/21;135300;271.0000000
NLMK;1;27/04/21;135400;271.2000000
NLMK;1;27/04/21;135500;271.2000000
NLMK;1;27/04/21;135600;271.0600000
NLMK;1;27/04/21;135700;271.2000000
NLMK;1;27/04/21;135800;271.3200000
NLMK;1;27/04/21;135900;271.2600000
NLMK;1;27/04/21;140000;271.0800000
NLMK;1;27/04/21;140100;271.0800000
NLMK;1;27/04/21;140200;270.9800000
NLMK;1;27/04/21;140300;271.0000000
NLMK;1;27/04/21;140400;270.7200000
NLMK;1;27/04/21;140500;270.5800000
NLMK;1;27/04/21;140600;270.1600000
NLMK;1;27/04/21;140700;270.4000000
NLMK;1;27/04/21;140800;270.2600000
NLMK;1;27/04/21;140900;270.4600000
NLMK;1;27/04/21;141000;270.3200000
NLMK;1;27/04/21;141100;270.5600000
NLMK;1;27/04/21;141200;270.6600000
NLMK;1;27/04/21;141300;270.3800000
NLMK;1;27/04/21;141400;270.2400000
NLMK;1;27/04/21;141500;270.3400000
NLMK;1;27/04/21;141600;270.3000000
NLMK;1;27/04/21;141700;270.4800000
NLMK;1;27/04/21;141800;270.5000000
